Style Num,Name,IPA Num,Colors,Sizes,Price,Sale Price,Short Desc,Desc,Item Type,Season,Fabric
25237,Gigi by La Femme,,Black,00-12,169,,,,dress,2018,Jersey
25467,Gigi by La Femme,,"Black Gold, White Gold",00-16,219,,,,dress,2018,Mikado
